origin,destination,count,nr
Client1,Client1,1,1
Client1,Client2,1,1
Client1,Client4,1,2
Client1,Client26,1,3
Client1,Client6,1,4
Client1,Client7,1,5
Client1,Client25,1,6
Client1,Client12,1,7
Client1,Client24,1,8
Client1,Client8,1,9
Client10,Client10,1,1
Client11,Client11,1,1
Client11,Client28,1,1
Client12,Client12,1,1
Client12,Client24,1,1
Client12,Client25,1,2
Client13,Client13,1,1
Client13,Client5,1,1
Client14,Client14,1,1
Client14,Client28,1,1
Client15,Client15,1,1
Client15,Client14,1,1
Client15,Client11,1,2
Client15,Client18,1,3
Client15,Client16,1,4
Client15,Client25,1,5
Client15,Client24,1,6
Client15,Client6,1,7
Client15,Client26,1,8
Client16,Client16,1,1
Client16,Client31,1,1
Client16,Client18,1,2
Client17,Client17,1,1
Client18,Client18,1,1
Client19,Client19,1,1
Client19,Client26,1,1
Client2,Client2,1,1
Client2,Client4,1,1
Client20,Client20,1,1
Client20,Client17,1,1
Client20,Client18,1,2
Client20,Client16,1,3
Client21,Client21,1,1
Client21,Client28,1,1
Client21,Client37,1,2
Client21,Client14,1,3
Client22,Client22,1,1
Client22,Client23,1,1
Client22,Client5,1,2
Client22,Client18,1,3
Client22,Client11,1,4
Client22,Client19,1,5
Client22,Client26,1,6
Client23,Client23,1,1
Client23,Client5,1,1
Client24,Client24,1,1
Client25,Client25,1,1
Client26,Client26,1,1
Client27,Client27,1,1
Client27,Client26,1,1
Client28,Client28,1,1
Client29,Client29,1,1
Client29,Client35,1,1
Client3,Client3,1,1
Client3,Client25,1,1
Client3,Client24,1,2
Client3,Client26,1,3
Client30,Client30,1,1
Client30,Client35,1,1
Client30,Client8,1,2
Client30,Client7,1,3
Client30,Client25,1,4
Client30,Client12,1,5
Client30,Client24,1,6
Client30,Client6,1,7
Client30,Client26,1,8
Client31,Client31,1,1
Client32,Client32,1,1
Client32,Client18,1,1
Client33,Client33,1,1
Client33,Client2,1,1
Client33,Client4,1,2
Client34,Client34,1,1
Client34,Client38,1,1
Client34,Client5,1,2
Client34,Client13,1,3
Client34,Client23,1,4
Client35,Client35,1,1
Client36,Client36,1,1
Client36,Client35,1,1
Client37,Client37,1,1
Client37,Client28,1,1
Client38,Client38,1,1
Client38,Client5,1,1
Client4,Client4,1,1
Client5,Client5,1,1
Client6,Client6,1,1
Client6,Client26,1,1
Client7,Client7,1,1
Client7,Client25,1,1
Client7,Client24,1,2
Client7,Client26,1,3
Client8,Client8,1,1
Client8,Client7,1,2
Client8,Client25,1,3
Client8,Client12,1,4
Client8,Client24,1,5
Client8,Client6,1,6
Client8,Client26,1,7
Client9,Client9,1,1
