iata,name,city,state,country,latitude,longitude,fullname,
Client1,Client1,Cedar Rapids,IA,USA,41.951627,-91.678056,Altorfer Cat,
Client2,Client2,West Columbia ,SC,USA,33.993487,-81.073982,Blanchard,
Client3,Client3,Fargo,ND,USA,46.828434,-96.83367,Butler Machinery,
Client4,Client4,Salem,VA,USA,37.293468,-80.054763,Carter Machinery,
Client5,Client5,Henderson,NV,USA,36.039525,-114.981721,Cashman Equipment,
Client6,Client6,Murrysville,PA,USA,40.428401,-79.697545,Cleveland Brothers,
Client7,Client7,Mesa,AZ,USA,33.415184,-111.831472,Empire Cat,
Client8,Client8,St Loius,MO,USA,38.512646,-90.442988,Fabick Cat, WI
Client9,Client9,Edmonton,,Canada,53.544389,-113.490927,Finning Canada,
Client10,Client10,Edmonton,,Canada,53.544389,-113.490927,Finning Saskatchewan,
Client11,Client11,Wichita,KS,USA,37.666688,-97.388056,Foley Equipment,
Client12,Client12,Raleigh ,NC,USA,35.77959,-78.638179,Gregory Poole Equipment Company,
Client13,Client13,Tukwila,WA,USA,47.448993,-122.243293,Harnish Group Inc.,
Client14,Client14,San Diego,CA,USA,33.014128,-117.102263,Hawthorne Machinery,
Client15,Client15,Quebec ,,Canada,45.471405,-73.812804,Hewitt Equipment,
Client16,Client16,San Antonio,TX,USA,29.424122,-98.493628,HOLT CAT,
Client17,Client17,Pleasant Grove,CA,USA,38.770722,-121.524517,Holt of California,
Client18,Client18,Riverside,CA,USA,33.953349,-117.396156,Johnson Machinery,
Client19,Client19,Reserve,LA,USA,30.076984,-90.564417,Louisiana CAT,
Client20,Client20,Houston,TX,USA,29.760427,-95.369803,Mustang CAT,
Client21,Client21,Omaha,NE,USA,41.147469,-96.142095,Nebraska Machinery Company,
Client22,Client22,Cleveland,OH,USA,41.49932,-81.694361,Ohio Cat,
Client23,Client23,Elmhurst,IL,USA,41.922137,-87.960935,Patten Cat ,
Client24,Client24,Flowood ,MS,USA,32.30959,-90.138976,Puckett Machinery,
Client25,Client25,Industry,CA,USA,36.570784,-119.612077,Quinn Company,
Client26,Client26,Bensalem,PA,USA,40.127466,-74.938235,Ransome Cat,
Client27,Client27,Whittier,CA,USA,33.961091,-118.053274,Southern California Material Handling,
Client28,Client28,La Vergne,TN,USA,36.015618,-86.581939,Thompson Machinery,
Client29,Client29,Ontario,,Canada,43.792251,-79.525788,Toromont Cat,
Client30,Client30,Aurora,CO,USA,39.752883,-104.775728,Wagner Equipment Co.,
Client31,Client31,Belle,WV,USA,38.232046,-81.537618,Walker Machinery Company,
Client32,Client32,Midland,TX,USA,31.924596,-102.219086,Warren Cat,
Client33,Client33,Meridian,ID,USA,43.591388,-116.385785,Western States Equipment Company,
Client34,Client34,Louisville,KY,USA,38.252665,-85.758456,Whayne Supply,
Client35,Client35,Salt Lake City,UT,USA,40.723983,-112.009251,Wheeler Machinery,
Client36,Client36,St Louis,MO,USA,38.67774,-90.358518,Wiese USA,
Client37,Client37,Casper,WY,USA,42.866632,-106.313081,Wyoming Machinery Co,
Client38,Client38,Austell,GA,USA,33.812606,-84.634378,Yancey Brothers,
